,0.0,2.0,4.0,6.0,8.0,10.0,12.0,14.0,16.0,18.0,20.0,22.0,24.0,26.0,28.0,30.0,32.0
0.0,73.0,93.0,88.6,76.5,68.4,61.9,61.9,56.0,47.5,38.7,36.6,38.7,32.6,33.0,26.3,27.2,21.1
2.0,94.0,93.5,82.0,80.5,77.0,72.9,67.0,58.7,58.0,55.3,52.9,53.7,54.4,45.0,36.4,37.5,33.5
4.0,87.3,90.4,80.2,74.8,72.8,67.0,62.6,52.6,50.4,51.4,52.2,44.1,39.5,34.4,32.6,27.0,24.9
6.0,81.9,86.2,82.3,80.7,79.2,70.9,63.2,62.2,62.2,57.2,47.6,45.8,40.2,38.0,39.9,36.7,38.8
8.0,80.8,83.5,79.8,74.4,64.5,61.3,57.4,48.8,48.9,47.0,47.2,47.5,47.7,46.9,41.1,39.8,41.6
10.0,79.8,81.6,73.1,66.3,57.0,54.4,52.1,48.9,41.0,42.7,41.3,37.0,36.0,37.1,34.2,31.4,29.9
12.0,76.8,79.2,72.9,62.1,61.1,57.2,49.6,45.7,37.0,31.0,28.6,29.3,30.9,31.5,26.9,28.8,30.5
14.0,69.0,74.1,63.2,59.1,53.4,54.1,48.8,45.9,37.2,36.2,28.3,25.1,18.1,20.6,19.0,22.5,17.7
16.0,65.5,69.8,62.2,52.2,50.1,46.1,42.4,34.0,33.3,33.6,29.9,23.5,23.6,20.8,15.1,18.9,13.4
18.0,59.2,64.5,58.4,51.7,43.6,39.1,39.9,32.8,33.1,30.5,23.0,26.2,24.1,26.2,25.1,25.1,28.1
20.0,52.3,58.4,53.7,44.4,43.9,39.4,37.2,34.2,34.5,35.7,35.9,30.0,29.6,24.2,25.3,27.3,24.1
22.0,50.7,54.5,55.2,53.8,47.5,40.7,42.4,43.0,34.6,32.8,33.2,33.5,29.8,32.5,29.9,24.5,17.5
24.0,48.1,51.3,50.2,48.2,39.4,38.2,38.1,32.1,26.5,26.4,21.3,23.6,17.7,12.3,9.3,13.6,12.5
26.0,44.7,48.0,41.2,33.9,29.2,24.8,17.9,11.4,11.5,9.6,11.8,14.9,9.7,13.9,8.8,5.1,4.7
28.0,41.5,44.8,38.2,33.1,32.5,24.9,22.9,20.1,23.5,18.6,21.1,14.4,10.2,14.4,11.3,12.4,13.4
30.0,34.4,39.6,40.4,38.2,30.1,23.7,23.8,24.9,22.9,25.1,28.1,23.8,17.9,12.5,13.5,10.4,14.6
32.0,29.7,34.6,36.9,31.9,28.4,26.1,28.0,30.8,31.3,25.8,23.7,26.8,25.7,28.6,23.3,20.5,22.8
34.0,28.2,31.4,26.9,29.8,24.4,23.4,20.6,19.9,17.3,14.9,18.7,15.2,11.0,12.1,12.2,6.2,9.7
36.0,27.8,29.6,27.2,24.1,20.1,23.5,22.6,21.8,18.1,15.6,11.4,9.5,9.7,12.9,9.9,5.1,6.7
38.0,22.4,26.0,19.9,22.3,21.5,21.8,21.1,24.4,25.4,28.4,25.1,21.1,18.4,13.0,14.9,16.7,19.4
40.0,20.3,23.1,16.3,11.0,11.1,11.2,14.3,8.2,7.5,7.9,11.3,10.4,9.6,8.8,10.1,4.3,8.9